seed,method,Dr_subset_size,acc_forget,acc_retain
13,finetune,0.5,0.99,0.99
13,finetune,0.4,0.98,0.99
13,finetune,0.3,0.98,0.99
13,finetune,0.2,0.98,0.99
13,finetune,0.1,0.97,0.98
13,finetune,0,0.96,0.98
12,our,1,0.72,0.82
12,our,0.9,0.69,0.84
12,our,0.8,0.65,0.8
12,our,0.7,0.68,0.81
12,our,0.6,0.65,0.81
12,our,0.5,0.68,0.77
12,our,0.4,0.67,0.8
12,our,0.3,0.63,0.79
12,our,0.2,0.83,0.52
12,our,0.1,0.83,0.34
12,our,0,0.83,0.27
12,unsir,1,0.98,0.99
12,unsir,0.9,0.98,0.98
12,unsir,0.8,0.98,0.98
12,unsir,0.7,0.97,0.98
12,unsir,0.6,0.97,0.98
12,unsir,0.5,0.97,0.98
12,unsir,0.4,0.96,0.97
12,unsir,0.3,0.96,0.97
12,unsir,0.2,0.96,0.96
12,unsir,0.1,0.94,0.94
12,unsir,0,0.83,0.84
12,ssd,1,0.98,0.98
12,ssd,0.9,0.98,0.98
12,ssd,0.8,0.96,0.97
12,ssd,0.7,0.98,0.98
12,ssd,0.6,0.96,0.97
12,ssd,0.5,0.96,0.97
12,ssd,0.4,0.96,0.96
12,ssd,0.3,0.96,0.97
12,ssd,0.2,0.95,0.96
12,ssd,0.1,0.82,0.83
12,ssd,0,0.83,0.84
12,scrub,1,0.83,0.84
12,scrub,0.9,0.83,0.84
12,scrub,0.8,0.83,0.84
12,scrub,0.7,0.83,0.84
12,scrub,0.6,0.83,0.84
12,scrub,0.5,0.83,0.84
12,scrub,0.4,0.83,0.84
12,scrub,0.3,0.83,0.84
12,scrub,0.2,0.83,0.84
12,scrub,0.1,0.83,0.84
12,scrub,0,0.66,0.84
12,bad-teacher,1,0.66,0.84
12,bad-teacher,0.9,0.66,0.84
12,bad-teacher,0.8,0.63,0.83
12,bad-teacher,0.7,0.65,0.83
12,bad-teacher,0.6,0.65,0.83
12,bad-teacher,0.5,0.61,0.82
12,bad-teacher,0.4,0.63,0.81
12,bad-teacher,0.3,0.61,0.79
12,bad-teacher,0.2,0.64,0.77
12,bad-teacher,0.1,0.55,0.67
12,bad-teacher,0,0.13,0.14
12,amnesiac,1,0.89,0.97
12,amnesiac,0.9,0.9,0.97
12,amnesiac,0.8,0.88,0.96
12,amnesiac,0.7,0.87,0.96
12,amnesiac,0.6,0.86,0.94
