seed,method,Dr_subset_size,acc_forget,acc_retain
3407,our,1,0.69,0.88
3407,our,0.9,0.67,0.88
3407,our,0.8,0.69,0.88
3407,our,0.7,0.69,0.88
3407,our,0.6,0.67,0.88
3407,our,0.5,0.67,0.88
3407,our,0.4,0.66,0.87
3407,our,0.3,0.66,0.87
3407,our,0.2,0.67,0.87
3407,our,0.1,0.69,0.84
3407,our,0,0.9,0.13
3407,unsir,1,0.99,1
3407,unsir,0.9,0.99,1
3407,unsir,0.8,0.99,0.99
3407,unsir,0.7,0.99,0.99
3407,unsir,0.6,0.99,0.99
3407,unsir,0.5,0.99,0.99
3407,unsir,0.4,0.99,0.99
3407,unsir,0.3,0.98,0.99
3407,unsir,0.2,0.98,0.98
3407,unsir,0.1,0.97,0.97
3407,unsir,0,0.89,0.89
3407,ssd,1,0.78,0.84
3407,ssd,0.9,0.6,0.62
3407,ssd,0.8,0.1,0.09
3407,ssd,0.7,0.94,0.96
3407,ssd,0.6,0.79,0.81
3407,ssd,0.5,0.84,0.87
3407,ssd,0.4,0.85,0.88
3407,ssd,0.3,0.78,0.8
3407,ssd,0.2,0.57,0.58
3407,ssd,0.1,0.88,0.89
3407,ssd,0,0.55,0.54
3407,scrub,1,0.89,0.89
3407,scrub,0.9,0.89,0.89
3407,scrub,0.8,0.89,0.89
3407,scrub,0.7,0.89,0.89
3407,scrub,0.6,0.89,0.89
3407,scrub,0.5,0.89,0.89
3407,scrub,0.4,0.89,0.89
3407,scrub,0.3,0.89,0.89
3407,scrub,0.2,0.89,0.89
3407,scrub,0.1,0.89,0.89
3407,scrub,0,0.89,0.89
3407,bad-teacher,1,0.9,0.87
3407,bad-teacher,0.9,0.9,0.88
3407,bad-teacher,0.8,0.9,0.88
3407,bad-teacher,0.7,0.9,0.88
3407,bad-teacher,0.6,0.9,0.88
3407,bad-teacher,0.5,0.91,0.89
3407,bad-teacher,0.4,0.9,0.88
3407,bad-teacher,0.3,0.92,0.89
3407,bad-teacher,0.2,0.92,0.9
3407,bad-teacher,0.1,0.94,0.92
3407,bad-teacher,0,0.54,0.54
3407,amnesiac,1,0.97,1
3407,amnesiac,0.9,0.96,0.99
3407,amnesiac,0.8,0.96,0.99
3407,amnesiac,0.7,0.95,0.99
3407,amnesiac,0.6,0.95,0.99
3407,amnesiac,0.5,0.94,0.99
3407,amnesiac,0.4,0.94,0.98
3407,amnesiac,0.3,0.92,0.98
3407,amnesiac,0.2,0.91,0.96
3407,amnesiac,0.1,0.85,0.91
3407,amnesiac,0,0.02,0.02
3407,neggrad,1,1,1
3407,neggrad,0.9,1,1
3407,neggrad,0.8,1,0.99
3407,neggrad,0.7,1,0.99
3407,neggrad,0.6,1,0.99
3407,neggrad,0.5,0.99,0.99
3407,neggrad,0.4,0.99,0.99
3407,neggrad,0.3,1,0.99
3407,neggrad,0.2,0.99,0.99
3407,neggrad,0.1,0.99,0.98
3407,neggrad,0,1,0.97
3407,finetune,1,0.99,1
3407,finetune,0.9,0.99,1
3407,finetune,0.8,0.99,0.99
3407,finetune,0.7,0.99,0.99
3407,finetune,0.6,0.99,0.99
3407,finetune,0.5,0.99,0.99
3407,finetune,0.4,0.98,0.99
3407,finetune,0.3,0.98,0.99
3407,finetune,0.2,0.98,0.98
3407,finetune,0.1,0.97,0.98
3407,finetune,0,0.93,0.93
13,our,1,0.67,0.94
13,our,0.9,0.68,0.94
13,our,0.8,0.68,0.93
13,our,0.7,0.67,0.93
13,our,0.6,0.64,0.93
13,our,0.5,0.66,0.93
13,our,0.4,0.66,0.93
13,our,0.3,0.66,0.93
13,our,0.2,0.65,0.93
13,our,0.1,0.68,0.9
13,our,0,0.95,0.1
13,unsir,1,0.99,1
13,unsir,0.9,0.99,1
13,unsir,0.8,0.99,1
13,unsir,0.7,0.99,1
13,unsir,0.6,0.99,1
13,unsir,0.5,0.99,0.99
13,unsir,0.4,0.99,0.99
13,unsir,0.3,0.99,0.99
13,unsir,0.2,0.99,0.99
13,unsir,0.1,0.99,0.98
13,unsir,0,0.96,0.95
13,ssd,1,0.98,0.99
13,ssd,0.9,0.98,1
13,ssd,0.8,0.99,1
13,ssd,0.7,0.99,0.99
13,ssd,0.6,0.99,1
13,ssd,0.5,0.99,0.99
13,ssd,0.4,0.99,0.99
13,ssd,0.3,0.99,0.99
13,ssd,0.2,0.88,0.89
13,ssd,0.1,0.77,0.77
13,ssd,0,0.83,0.83
13,scrub,1,0.96,0.95
13,scrub,0.9,0.96,0.95
13,scrub,0.8,0.96,0.95
13,scrub,0.7,0.96,0.95
13,scrub,0.6,0.96,0.95
13,scrub,0.5,0.96,0.95
13,scrub,0.4,0.96,0.95
13,scrub,0.3,0.96,0.95
13,scrub,0.2,0.96,0.95
13,scrub,0.1,0.96,0.95
13,scrub,0,0.96,0.95
13,bad-teacher,1,0.95,0.94
13,bad-teacher,0.9,0.95,0.94
13,bad-teacher,0.8,0.95,0.94
13,bad-teacher,0.7,0.95,0.94
13,bad-teacher,0.6,0.95,0.94
13,bad-teacher,0.5,0.95,0.94
13,bad-teacher,0.4,0.96,0.94
13,bad-teacher,0.3,0.96,0.94
13,bad-teacher,0.2,0.96,0.95
13,bad-teacher,0.1,0.96,0.95
13,bad-teacher,0,0.64,0.62
13,amnesiac,1,0.97,1
13,amnesiac,0.9,0.96,1
13,amnesiac,0.8,0.97,1
13,amnesiac,0.7,0.96,1
13,amnesiac,0.6,0.96,0.99
13,amnesiac,0.5,0.96,0.99
13,amnesiac,0.4,0.95,0.99
13,amnesiac,0.3,0.94,0.98
13,amnesiac,0.2,0.92,0.97
13,amnesiac,0.1,0.87,0.93
13,amnesiac,0,0.01,0.01
13,neggrad,1,1,1
13,neggrad,0.9,1,1
13,neggrad,0.8,1,1
13,neggrad,0.7,1,1
13,neggrad,0.6,1,1
13,neggrad,0.5,1,0.99
13,neggrad,0.4,1,0.99
13,neggrad,0.3,1,0.99
13,neggrad,0.2,1,0.99
13,neggrad,0.1,1,0.99
13,neggrad,0,1,0.98
13,finetune,1,1,1
13,finetune,0.9,1,1
13,finetune,0.8,1,1
13,finetune,0.7,1,1
13,finetune,0.6,1,1
13,finetune,0.5,0.99,1
13,finetune,0.4,1,0.99
13,finetune,0.3,0.99,0.99
13,finetune,0.2,0.99,0.99
13,finetune,0.1,0.99,0.99
13,finetune,0,0.96,0.96
12,our,1,0.95,0.99
12,our,0.9,0.94,0.99
12,our,0.8,0.95,0.99
12,our,0.7,0.93,0.99
12,our,0.6,0.93,0.98
12,our,0.5,0.93,0.98
12,our,0.4,0.97,0.99
12,our,0.3,0.96,0.98
12,our,0.2,0.95,0.98
12,our,0.1,0.92,0.98
