seed,method,Dr_subset_size,acc_forget,acc_retain
12,our,0,1,0.17
12,unsir,1,0.99,1
12,unsir,0.9,0.99,1
12,unsir,0.8,0.99,1
12,unsir,0.7,0.99,1
12,unsir,0.6,0.99,0.99
12,unsir,0.5,0.99,0.99
12,unsir,0.4,0.99,0.99
12,unsir,0.3,0.99,0.99
12,unsir,0.2,0.98,0.99
12,unsir,0.1,0.98,0.98
12,unsir,0,0.95,0.95
12,ssd,1,0.89,0.95
12,ssd,0.9,0.9,0.94
12,ssd,0.8,0.01,0.01
12,ssd,0.7,0.89,0.92
12,ssd,0.6,0.88,0.92
12,ssd,0.5,0.84,0.87
12,ssd,0.4,0.85,0.88
12,ssd,0.3,0.9,0.91
12,ssd,0.2,0.9,0.91
12,ssd,0.1,0.87,0.88
12,ssd,0,0.41,0.41
12,scrub,1,0.95,0.95
12,scrub,0.9,0.95,0.95
12,scrub,0.8,0.95,0.95
12,scrub,0.7,0.95,0.95
12,scrub,0.6,0.95,0.95
12,scrub,0.5,0.95,0.95
12,scrub,0.4,0.95,0.95
12,scrub,0.3,0.95,0.95
12,scrub,0.2,0.95,0.95
12,scrub,0.1,0.95,0.95
12,scrub,0,0.95,0.95
12,bad-teacher,1,0.94,0.94
12,bad-teacher,0.9,0.95,0.93
12,bad-teacher,0.8,0.94,0.93
12,bad-teacher,0.7,0.95,0.94
12,bad-teacher,0.6,0.95,0.93
12,bad-teacher,0.5,0.95,0.94
12,bad-teacher,0.4,0.95,0.94
12,bad-teacher,0.3,0.95,0.94
12,bad-teacher,0.2,0.96,0.94
12,bad-teacher,0.1,0.96,0.95
12,bad-teacher,0,0.6,0.59
12,amnesiac,1,0.96,1
12,amnesiac,0.9,0.96,1
12,amnesiac,0.8,0.96,1
12,amnesiac,0.7,0.96,0.99
12,amnesiac,0.6,0.95,0.99
12,amnesiac,0.5,0.95,0.99
12,amnesiac,0.4,0.94,0.99
12,amnesiac,0.3,0.94,0.98
12,amnesiac,0.2,0.92,0.97
12,amnesiac,0.1,0.89,0.93
12,amnesiac,0,0.01,0.02
12,neggrad,1,1,1
12,neggrad,0.9,1,1
12,neggrad,0.8,1,1
12,neggrad,0.7,1,1
12,neggrad,0.6,1,1
12,neggrad,0.5,1,0.99
12,neggrad,0.4,1,0.99
12,neggrad,0.3,1,0.99
12,neggrad,0.2,1,0.99
12,neggrad,0.1,1,0.99
12,neggrad,0,0.99,0.98
12,finetune,1,0.99,1
12,finetune,0.9,0.99,1
12,finetune,0.8,1,1
12,finetune,0.7,0.99,1
12,finetune,0.6,0.99,1
12,finetune,0.5,0.99,0.99
12,finetune,0.4,0.99,0.99
12,finetune,0.3,0.99,0.99
12,finetune,0.2,0.99,0.99
12,finetune,0.1,0.98,0.98
12,finetune,0,0.96,0.96
