method,alpha,seed,mia,forget,retain,time
our,4,3407,0.72,0.96,0.96,7.06
our,2,3407,0.73,0.97,0.96,7.06
our,1024,3407,0.61,0.96,0.92,7.05
our,512,3407,0.61,0.96,0.92,7.06
our,256,3407,0.61,0.96,0.92,7.05
our,128,3407,0.61,0.96,0.92,7.05
our,64,3407,0.61,0.96,0.92,7.05
our,32,3407,0.62,0.96,0.93,7.05
our,16,3407,0.68,0.95,0.95,7.05
our,8,3407,0.71,0.96,0.96,7.05
unsir,,3407,0.78,0.95,0.95,10.98
ssd,,3407,0.75,0.97,0.96,14.25
scrub,,3407,0.75,0.97,0.96,17.06
bad-teacher,,3407,0.66,0.91,0.92,7.96
amnesiac,,3407,0.75,0.94,0.97,13.55
neggrad,,3407,0.81,0.98,0.98,13.21
finetune,,3407,0.77,0.94,0.98,11.61
retrained,,3407,0.72,0.92,0.96,119.53
original,,3407,0.75,0.97,0.96,123.26
our,4,13,0.73,0.96,0.96,7.06
our,2,13,0.73,0.96,0.96,7.07
our,1024,13,0.6,0.96,0.92,7.06
our,512,13,0.6,0.96,0.92,7.06
our,256,13,0.6,0.96,0.92,7.05
our,128,13,0.6,0.96,0.92,7.05
our,64,13,0.6,0.96,0.92,7.05
our,32,13,0.61,0.96,0.93,7.05
our,16,13,0.65,0.95,0.94,7.05
our,8,13,0.71,0.96,0.96,7.05
unsir,,13,0.78,0.94,0.95,10.64
ssd,,13,0.75,0.96,0.96,13.65
scrub,,13,0.75,0.97,0.96,16.9
bad-teacher,,13,0.65,0.89,0.91,8.11
amnesiac,,13,0.75,0.95,0.98,12.76
neggrad,,13,0.81,0.98,0.98,12.59
finetune,,13,0.74,0.92,0.96,11.3
retrained,,13,0.72,0.92,0.96,112.82
original,,13,0.75,0.97,0.96,120.54
our,4,12,0.72,0.96,0.96,7.05
our,2,12,0.73,0.96,0.96,7.06
our,1024,12,0.61,0.96,0.92,7.06
our,512,12,0.61,0.96,0.92,7.05
our,256,12,0.61,0.96,0.92,7.05
our,128,12,0.61,0.96,0.92,7.05
our,64,12,0.6,0.96,0.92,7.06
our,32,12,0.62,0.96,0.93,7.06
our,16,12,0.68,0.95,0.95,7.05
our,8,12,0.71,0.96,0.96,7.05
unsir,,12,0.78,0.94,0.94,10.64
ssd,,12,0.75,0.97,0.96,13.58
scrub,,12,0.75,0.97,0.96,16.8
bad-teacher,,12,0.65,0.9,0.9,8.09
amnesiac,,12,0.74,0.94,0.98,12.72
neggrad,,12,0.8,0.98,0.98,12.56
finetune,,12,0.77,0.95,0.98,11.3
retrained,,12,0.72,0.92,0.96,112.88
original,,12,0.75,0.97,0.96,122.76
